name,pop,region,income,education_score,out_of_work
Saffron Walden BUA,15210,East of England,Lower deprivation towns,3.951955622,NA
Knutsford BUA,13191,North West,Lower deprivation towns,3.730134,NA
Shepley BUA,5444,Yorkshire and The Humber,Lower deprivation towns,3.283891891,NA
Biggleswade BUA,16551,East of England,Lower deprivation towns,-1.06055732,6.306306306306306
Ripon BUA,16363,Yorkshire and The Humber,Lower deprivation towns,2.456561847,NA
Selsey BUA,10550,South East,Mid deprivation towns,-4.474723195,9.90990990990991
Ilfracombe BUA,11184,South West,Higher deprivation towns,0.559264105,7.518796992481203
Saltburn-by-the-Sea BUA,5958,North East,Higher deprivation towns,-0.395280266,NA
Ventnor BUA,5976,South East,Higher deprivation towns,-3.147683679,NA
Newton Aycliffe BUA,25964,North East,Higher deprivation towns,-1.482598265,17.846153846153847
Newbiggin-by-the-Sea BUA,6308,North East,Higher deprivation towns,-9.622821465,NA
Filey BUA,6530,Yorkshire and The Humber,Higher deprivation towns,-2.13977095,NA
Hoo St Werburgh BUA,6113,South East,Mid deprivation towns,-4.418054903,10.75268817204301
Arlesey BUA,5584,East of England,Lower deprivation towns,-2.725592731,NA
South Woodham Ferrers BUA,16453,East of England,Lower deprivation towns,2.153188205,NA
Earls Barton BUA,5387,East Midlands,Lower deprivation towns,1.709309858,NA
Lichfield BUA,32877,West Midlands,Mid deprivation towns,2.174353696,5.989583333333334
Calverton BUA,6868,East Midlands,Lower deprivation towns,1.821299858,NA
Blackfield BUA,13712,South East,Mid deprivation towns,-3.872906722,6.790123456790123
Yaxley BUA,9174,East of England,Lower deprivation towns,-0.383765608,NA
Lymm BUA,11608,North West,Lower deprivation towns,8.134159931,6.802721088435375
Dereham BUA,20651,East of England,Mid deprivation towns,-4.173643774,6.986899563318777
Shrewsbury BUA,71715,West Midlands,Mid deprivation towns,0.574837261,8.794326241134751
Witley BUA,6437,South East,Lower deprivation towns,3.081454678,NA
Newport (Telford and Wrekin) BUA,12741,West Midlands,Lower deprivation towns,3.790062821,8.275862068965518
Beaconsfield BUA,13797,South East,Lower deprivation towns,8.2794322910000009,NA
Croesowallt BUA,18743,West Midlands,Higher deprivation towns,-2.606345723,10.559006211180124
Chapel-en-le-Frith BUA,6598,East Midlands,Lower deprivation towns,2.545779792,NA
Longridge BUA,7526,North West,Lower deprivation towns,2.03595631,NA
Verwood BUA,13360,South West,Lower deprivation towns,0.650819418,NA
Whitchurch (Shropshire) BUA,9710,West Midlands,Higher deprivation towns,-1.702726769,NA
Tidworth BUA,9174,South West,Lower deprivation towns,-6.794033365,NA
Bracebridge Heath BUA,5656,East Midlands,Lower deprivation towns,7.11604934,NA
Barton-upon-Humber BUA,11066,Yorkshire and The Humber,Higher deprivation towns,-1.359109482,8.870967741935484
Aylsham BUA,6016,East of England,Mid deprivation towns,-2.459003441,NA
Poringland BUA,5132,East of England,Lower deprivation towns,-0.295070798,NA
Manningtree BUA,5696,East of England,Lower deprivation towns,-0.632590012,NA
Keynsham BUA,15641,South West,Mid deprivation towns,2.400008357,NA
Sleaford BUA,17359,East Midlands,Mid deprivation towns,0.01403388,10.619469026548671
Barrow-in-Furness BUA,45865,North West,Higher deprivation towns,-4.450589183,16.93404634581105
Wellesbourne BUA,5849,West Midlands,Lower deprivation towns,4.888089933,NA
Clowne BUA,7590,East Midlands,Higher deprivation towns,1.12736806,16.455696202531644
Chatteris BUA,10298,East of England,Higher deprivation towns,-1.868861258,11.666666666666666
Brixham BUA,16693,South West,Higher deprivation towns,-4.391985684,8.620689655172415
Murton (County Durham) BUA,7413,North East,Higher deprivation towns,-2.61264338,NA
Tiverton BUA,19544,South West,Higher deprivation towns,-3.828427778,10.091743119266056
Hurstpierpoint BUA,12730,South East,Lower deprivation towns,2.081328337,NA
South Hayling BUA,15485,South East,Mid deprivation towns,-2.251562259,8.59375
Egremont BUA,6222,North West,Higher deprivation towns,-0.110993506,18.29268292682927
Swaffham BUA,7258,East of England,Higher deprivation towns,-3.048500521,NA
Ledbury BUA,8862,West Midlands,Lower deprivation towns,-2.599414593,NA
Skipton BUA,14623,Yorkshire and The Humber,Mid deprivation towns,0.242248857,8.108108108108109
Bradford on Avon BUA,9149,South West,Lower deprivation towns,1.129926322,NA
Oundle BUA,5735,East Midlands,Lower deprivation towns,0.998725151,NA
Sherburn in Elmet BUA,6657,Yorkshire and The Humber,Lower deprivation towns,-1.054967497,NA
Ludlow BUA,10515,West Midlands,Higher deprivation towns,-3.735958141,NA
Bingham BUA,9131,East Midlands,Lower deprivation towns,5.9158806330000004,NA
Lewes BUA,17297,South East,Mid deprivation towns,4.118350123,7.368421052631578
Benson BUA,5802,South East,Lower deprivation towns,5.522860023,NA
Liphook BUA,6480,South East,Lower deprivation towns,3.980502734,NA
Haxby BUA,11894,Yorkshire and The Humber,Lower deprivation towns,4.051929603,NA
Shaftesbury BUA,7314,South West,Mid deprivation towns,0.223261118,NA
Bungay BUA,5127,East of England,Mid deprivation towns,-4.910679677,NA
Calne BUA,17274,South West,Mid deprivation towns,-0.53407729,7.555555555555555
King's Hill BUA,7459,South East,Lower deprivation towns,5.529242273,NA
Cobham (Elmbridge) BUA,17273,South East,Lower deprivation towns,-0.216811374,NA
Beccles BUA,13868,East of England,Higher deprivation towns,-1.107627457,11.25
Tiptree BUA,9182,East of England,Lower deprivation towns,-0.485494354,NA
Peacehaven BUA,18579,South East,Higher deprivation towns,-2.223980389,8.16326530612245
Tetbury BUA,5472,South West,Lower deprivation towns,-1.155313769,NA
Leighton Buzzard BUA,37469,East of England,Lower deprivation towns,-0.613976223,7.105263157894736
Broughton Astley BUA,8940,East Midlands,Lower deprivation towns,2.739689191,NA
Whittlesey BUA,12745,East of England,Higher deprivation towns,-2.741101517,6.289308176100629
Brandon (Forest Heath) BUA,9145,East of England,Mid deprivation towns,-4.617306675,NA
Cottenham BUA,5903,East of England,Lower deprivation towns,2.255576163,NA
Bourne BUA,13961,East Midlands,Lower deprivation towns,3.667706727,NA
Staplehurst BUA,5051,South East,Lower deprivation towns,1.536195874,NA
Cheadle BUA,11404,West Midlands,Mid deprivation towns,0.96055605,NA
Brixworth BUA,5228,East Midlands,Lower deprivation towns,4.239730507,NA
Chipping Ongar BUA,6093,East of England,Mid deprivation towns,-0.055451779,NA
Fleetwood BUA,25359,North West,Higher deprivation towns,-3.177517481,12.698412698412698
Shildon BUA,9976,North East,Higher deprivation towns,-3.879778293,17.391304347826086
Hemsby BUA,5522,East of England,Higher deprivation towns,-0.950998707,NA
Ashby-de-la-Zouch BUA,12370,East Midlands,Lower deprivation towns,4.828025815,NA
Wadebridge BUA,6599,South West,Mid deprivation towns,-0.73465615,NA
Harpenden BUA,30240,East of England,Lower deprivation towns,11.03279063,3.389830508474576
Halesworth BUA,5558,East of England,Higher deprivation towns,-5.326206889,NA
Attleborough BUA,10549,East of England,Lower deprivation towns,-3.009828323,NA
Fleet BUA,38726,South East,Lower deprivation towns,6.540699064,2.272727272727273
Ramsey (Huntingdonshire) BUA,7829,East of England,Mid deprivation towns,-0.687678695,NA
Wantage BUA,18505,South East,Lower deprivation towns,1.21344731,4.291845493562231
East Leake BUA,6337,East Midlands,Lower deprivation towns,4.370325265,NA
Askern BUA,5570,Yorkshire and The Humber,Higher deprivation towns,-5.129770739,22
Long Sutton (South Holland) BUA,5161,East Midlands,Mid deprivation towns,-2.660142264,NA
Battle BUA,6054,South East,Lower deprivation towns,3.50519266,NA
New Ollerton BUA,9840,East Midlands,Higher deprivation towns,-9.394098568,17.322834645669293
Uttoxeter BUA,13089,West Midlands,Lower deprivation towns,-0.665013634,5.524861878453039
